domain,price,currency,date,source,venue,tld
schematic.com,150000,USD,2023-12-31,dnjournal_ytd,,com
mindsprint.com,150000,USD,2024-12-31,dnjournal_ytd,,com
super.net,150000,USD,2024-12-31,dnjournal_ytd,,net
7.io,150000,USD,2024-12-31,dnjournal_ytd,,io
technologyholdings.com,150000,USD,2022-12-31,dnjournal_ytd,,com
bettingtips.com,150000,USD,2020-12-31,dnjournal_ytd,,com
swiper.com,150000,USD,2023-12-31,dnjournal_ytd,,com
copymarkets.com,150000,USD,2021-12-31,dnjournal_ytd,,com
nuum.com,150000,USD,2023-12-31,dnjournal_ytd,,com
skates.com,150000,USD,2021-12-31,dnjournal_ytd,,com
gian.com,150000,USD,2022-12-31,dnjournal_ytd,,com
cgd.com,150000,USD,2021-12-31,dnjournal_ytd,,com
cluster.com,150000,USD,2021-12-31,dnjournal_ytd,,com
hot7.com,150000,USD,2023-12-31,dnjournal_ytd,,com
mules.com,150000,USD,2021-12-31,dnjournal_ytd,,com
chronic.com,150000,USD,2021-12-31,dnjournal_ytd,,com
mindmesh.com,150000,USD,2026-06-12,dnjournal,,com
foreveryoung.com,150000,USD,2020-12-31,dnjournal_ytd,,com
eshop.com,148134,USD,2021-12-31,dnjournal_ytd,,com
memento.com,148000,USD,2020-12-31,dnjournal_ytd,,com
accelerator.com,145050,USD,2023-12-31,dnjournal_ytd,,com
skweezer.net,144000,USD,2021-12-31,dnjournal_ytd,,net
btc365.com,143480,USD,2021-12-31,dnjournal_ytd,,com
lawyersnearme.com,140409,USD,2022-12-31,dnjournal_ytd,,com
69bet.com,140000,USD,2024-12-31,dnjournal_ytd,,com
isign.com,140000,USD,2022-12-31,dnjournal_ytd,,com
zcg.com,140000,USD,2020-12-31,dnjournal_ytd,,com
golf.ai,140000,USD,2024-12-31,dnjournal_ytd,,ai
debounce.com,140000,USD,2024-12-31,dnjournal_ytd,,com
coa.com,140000,USD,2023-12-31,dnjournal_ytd,,com
cope.com,138000,USD,2021-12-31,dnjournal_ytd,,com
linktree.com,138000,USD,2021-12-31,dnjournal_ytd,,com
link.co,135000,USD,2021-12-31,dnjournal_ytd,,co
cv.co,130000,USD,2024-12-31,dnjournal_ytd,,co
majoris.com,130000,USD,2023-12-31,dnjournal_ytd,,com
win.ai,130000,USD,2024-12-31,dnjournal_ytd,,ai
riki.com,130000,USD,2024-12-31,dnjournal_ytd,,com
blueprint.ai,130000,USD,2024-12-31,dnjournal_ytd,,ai
betex.com,129995,USD,2024-12-31,dnjournal_ytd,,com
wallpapers.com,129500,USD,2020-12-31,dnjournal_ytd,,com
viv.com,129375,USD,2021-12-31,dnjournal_ytd,,com
0.io,125000,USD,2024-12-31,dnjournal_ytd,,io
agents.ai,125000,USD,2023-12-31,dnjournal_ytd,,ai
elmer.com,125000,USD,2022-12-31,dnjournal_ytd,,com
clearstreet.com,125000,USD,2021-12-31,dnjournal_ytd,,com
expireddomains.com,125000,USD,2021-12-31,dnjournal_ytd,,com
cows.com,125000,USD,2021-12-31,dnjournal_ytd,,com
live.chat,125000,USD,2020-12-31,dnjournal_ytd,,chat
proton.org,125000,USD,2022-12-31,dnjournal_ytd,,org
lendable.com,125000,USD,2020-12-31,dnjournal_ytd,,com
hero.io,125000,USD,2023-12-31,dnjournal_ytd,,io
auger.com,125000,USD,2024-12-31,dnjournal_ytd,,com
cryptouniversity.com,125000,USD,2022-12-31,dnjournal_ytd,,com
vehicle.com,121675,USD,2020-12-31,dnjournal_ytd,,com
eleven.io,121000,USD,2023-12-31,dnjournal_ytd,,io
stoneage.com,120200,USD,2023-12-31,dnjournal_ytd,,com
limit.com,120000,USD,2021-12-31,dnjournal_ytd,,com
goon.com,120000,USD,2021-12-31,dnjournal_ytd,,com
ledger.io,120000,USD,2021-12-31,dnjournal_ytd,,io
porn.co,120000,USD,2021-12-31,dnjournal_ytd,,co
ev.fr,120000,USD,2022-12-31,dnjournal_ytd,,fr
fantasy.ai,120000,USD,2024-12-31,dnjournal_ytd,,ai
secondbrain.com,120000,USD,2023-12-31,dnjournal_ytd,,com
sino.xyz,119911,USD,2022-12-31,dnjournal_ytd,,xyz
on.de,119000,USD,2021-12-31,dnjournal_ytd,,de
io.net,118000,USD,2023-12-31,dnjournal_ytd,,net
plp.com,117500,USD,2021-12-31,dnjournal_ytd,,com
plains.com,115000,USD,2020-12-31,dnjournal_ytd,,com
wbs.com,115000,USD,2020-12-31,dnjournal_ytd,,com
review.ai,115000,USD,2024-12-31,dnjournal_ytd,,ai
verano.com,115000,USD,2021-12-31,dnjournal_ytd,,com
symphonic.com,115000,USD,2021-12-31,dnjournal_ytd,,com
mixed.com,115000,USD,2022-12-31,dnjournal_ytd,,com
terry.com,114000,USD,2021-12-31,dnjournal_ytd,,com
candyshop.com,112125,USD,2021-12-31,dnjournal_ytd,,com
caretaker.com,112000,USD,2020-12-31,dnjournal_ytd,,com
veteransday.com,112000,USD,2021-12-31,dnjournal_ytd,,com
precise.ai,110000,USD,2023-12-31,dnjournal_ytd,,ai
betify.com,110000,USD,2022-12-31,dnjournal_ytd,,com
wrap.xyz,110000,USD,2022-12-31,dnjournal_ytd,,xyz
