date,domain,price,venue,length,dot_com,hyphen,numbers
2019-09-30,zxt.cc,114,DropCatch,3,0,0,0
2017-06-09,universalboard.com,105,GoDaddy,14,1,0,0
2019-09-03,carter.ai,100,Whois.ai,6,0,0,0
2019-08-01,comprehensive.io,104,Park.io,13,0,0,0
2019-07-07,thehobbyshow.com,100,GoDaddy,12,1,0,0
2019-06-17,texturepackpvp.com,113,GoDaddy,14,1,0,0
2019-02-05,sameerbhatia.com,106,GoDaddy,12,1,0,0
2019-02-25,zebra-award.org,110,DropCatch,11,0,1,0
2018-10-12,smugnet.org,105,GoDaddy,7,0,0,0
2019-12-12,donor.me,104,Park.io,5,0,0,0
2019-06-22,newsquench.com,106,GoDaddy,10,1,0,0
2019-02-10,pinckneysproduce.com,110,GoDaddy,16,1,0,0
2017-12-30,seasonalsauces.com,102,GoDaddy,14,1,0,0
2018-02-13,solopasta.com,101,GoDaddy,9,1,0,0
2020-04-04,corporalgym.com,104,GoDaddy,11,1,0,0
2020-02-09,enterproductkey.com,102,GoDaddy,15,1,0,0
2017-12-03,natureshideaway.com,102,DropCatch,15,1,0,0
2019-07-04,piracyblog.com,105,Flippa,10,1,0,0
2019-10-20,adamsdrilling.com,105,GoDaddy,13,1,0,0
2020-05-09,sonepat.com,110,GoDaddy,7,1,0,0
2019-01-31,ktthearchdegree.com,105,GoDaddy,15,1,0,0
2018-02-02,richmondmma.com,107,GoDaddy,11,1,0,0
2018-10-31,receptivetours.com,107,GoDaddy,14,1,0,0
2019-10-26,hyotenkanomori.com,103,GoDaddy,14,1,0,0
2020-02-06,nooriworld.net,112,GoDaddy,10,0,0,0
2018-08-17,pradvice.com,110,NameJet,8,1,0,0
2020-05-02,basicoffer.com,105,GoDaddy,10,1,0,0
2020-05-14,greentopics.com,113,GoDaddy,11,1,0,0
2017-11-28,campechoinghills.org,107,GoDaddy,16,0,0,0
