date,domain,price,venue,length,dot_com,hyphen,numbers
2019-12-10,gartenwelt.de,15806,Sedo,10,0,0,0
2019-12-10,qmt.fr,11068,Sedo,3,0,0,0
2019-12-10,street.org,5533,Sedo,6,0,0,0
2019-12-09,vity.com,5038,DropCatch,4,1,0,0
2019-12-11,preserveala.org,27055,GoDaddy,11,0,0,0
2019-12-11,kitchensurfing.com,16267,GoDaddy,14,1,0,0
2019-12-11,lyckost.com,13501,Sedo,7,1,0,0
2019-12-11,aurecon.com,10750,GoDaddy,7,1,0,0
2019-12-11,earthsummit2002.org,10250,GoDaddy,15,0,0,1
2019-12-11,kuepper.de,6598,Sedo,7,0,0,0
2019-12-12,worlds.io,25000,Park.io,6,0,0,0
2019-12-14,44422.com,20343,GoDaddy,5,1,0,1
2019-12-14,customauto.com,10250,GoDaddy,10,1,0,0
2019-12-14,zunya.com,8300,Sedo,5,1,0,0
2019-12-14,zt.org,7188,GoDaddy,2,0,0,0
2019-12-14,eleventhemes.com,6400,GoDaddy,12,1,0,0
2019-12-15,learn-orienteering.org,9550,DropCatch,18,0,1,0
2019-12-15,zh.org,9288,GoDaddy,2,0,0,0
2019-12-15,yh333.com,6100,GoDaddy,5,1,0,1
2019-12-15,ancestorhunt.com,5200,GoDaddy,12,1,0,0
2019-12-14,90889.com,5500,GoDaddy,5,1,0,1
2019-12-14,mobilegear.com,5125,NameJet,10,1,0,0
2019-12-16,77777.cc,38000,GoDaddy,5,0,0,1
2019-12-16,hiv.org,11100,Dynadot,3,0,0,0
2019-12-16,endtheoccupation.org,11050,DropCatch,16,0,0,0
2019-12-16,the-pool.com,8988,GoDaddy,8,1,1,0
2019-12-16,tokina.com,6632,GoDaddy,6,1,0,0
2019-12-16,psoft.net,6300,GoDaddy,5,0,0,0
2019-12-16,welaunch.com,5138,DropCatch,8,1,0,0
2019-12-17,novo.com,52999,Sedo,4,1,0,0
2019-12-17,fdj.com,40100,DropCatch,3,1,0,0
2019-12-17,glassrepair.com,16750,GoDaddy,11,1,0,0
2019-12-17,percolator.com,7600,GoDaddy,10,1,0,0
2019-12-17,map-generator.org,7001,GoDaddy,13,0,1,0
2019-12-18,quantas.com,19138,GoDaddy,7,1,0,0
2019-12-18,bt.io,10001,Park.io,2,0,0,0
2019-12-18,growthleads.com,10000,Sedo,11,1,0,0
2019-12-18,farmy.nl,6680,Sedo,5,0,0,0
2019-12-18,desta.com,6101,GoDaddy,5,1,0,0
2019-12-18,storgram.com,5100,GoDaddy,8,1,0,0
2019-12-18,limepay.com,5000,Sedo,7,1,0,0
2019-12-19,shopjeen.com,10000,GoDaddy,8,1,0,0
2019-12-20,89889.com,21200,GoDaddy,5,1,0,1
2019-12-20,appstax.com,6000,Sedo,7,1,0,0
2019-12-20,drivable.com,5301,GoDaddy,8,1,0,0
2019-12-21,calyxia.com,11078,Sedo,7,1,0,0
2019-12-21,stalkingawarenessmonth.org,8988,GoDaddy,22,0,0,0
2019-12-21,trademarker.com,6349,GoDaddy,11,1,0,0
2019-12-21,tizo.com,6055,NameJet,4,1,0,0
2019-12-22,88805.com,18500,GoDaddy,5,1,0,1
2019-12-22,weardonaterecycle.org,9700,GoDaddy,17,0,0,0
2019-12-22,mindfire.com,7570,GoDaddy,8,1,0,0
2019-12-22,f98.com,5500,NameJet,3,1,0,1
2019-12-22,americanpublicsafety.com,5188,BuyDomains,20,1,0,0
2019-12-24,models.net,19906,NameJet,6,0,0,0
2019-12-24,geero.com,15523,Sedo,5,1,0,0
2019-12-24,xili.com,10750,GoDaddy,4,1,0,0
2019-12-24,pk1.com,10250,GoDaddy,3,1,0,1
2019-12-24,swissasset.com,10250,Sedo,10,1,0,0
2019-12-24,electricauto.com,6966,NameJet,12,1,0,0
2019-12-24,faithconnect.com,6288,BuyDomains,12,1,0,0
2019-12-24,authenium.com,5544,Sedo,9,1,0,0
2019-12-25,open.money,25000,New.Life,4,0,0,0
2019-12-25,worldsexology.org,16450,DropCatch,13,0,0,0
2019-12-25,maxu.com,8299,GoDaddy,4,1,0,0
2019-12-25,am365.com,7233,DropCatch,5,1,0,1
2019-12-25,sustainablecitynetwork.com,6200,GoDaddy,22,1,0,0
2019-12-25,veganmarket.com,6055,GoDaddy,11,1,0,0
2019-12-26,4k.net,10099,Sedo,2,0,0,1
2019-12-26,veteransandptsd.com,8200,GoDaddy,15,1,0,0
2019-12-26,fchain.com,8127,DropCatch,6,1,0,0
2019-12-26,zerodegrees.com,7551,DropCatch,11,1,0,0
2019-12-26,alessandro.com,7200,NameJet,10,1,0,0
2019-12-27,businesscenter.com,11000,NameJet,14,1,0,0
2019-12-26,kiha.com,6988,GoDaddy,4,1,0,0
2019-12-26,doubleornothing.com,6506,DropCatch,15,1,0,0
2019-12-28,mhealthwatch.com,8200,GoDaddy,12,1,0,0
2019-12-29,rapidloans.com,10000,NameJet,10,1,0,0
2019-12-29,cowboyhats.com,9000,Flippa,10,1,0,0
2019-12-29,131999.com,5500,GoDaddy,6,1,0,1
2019-12-29,akademi.com,5066,NameJet,7,1,0,0
2019-12-30,powerboat.com,12550,DropCatch,9,1,0,0
2019-12-30,34488.com,12001,GoDaddy,5,1,0,1
2019-12-30,33116.com,10000,GoDaddy,5,1,0,1
2019-12-30,40456.com,7401,GoDaddy,5,1,0,1
2019-12-30,motorcycleloans.com,6025,GoDaddy,15,1,0,0
2020-01-01,credit.io,9000,Park.io,6,0,0,0
2019-12-31,99655.com,15003,GoDaddy,5,1,0,1
2019-12-31,50567.com,6249,GoDaddy,5,1,0,1
2019-12-31,geeksonaplane.com,5200,GoDaddy,13,1,0,0
2020-01-12,open.exchange,13890,NamePull.com,4,0,0,0
2020-01-12,agna.com,5000,BuyDomains,4,1,0,0
2020-01-13,alliancehealth.com,9392,GoDaddy,14,1,0,0
2020-01-13,moira.com,8600,GoDaddy,5,1,0,0
2020-01-13,wpcustomify.com,5400,GoDaddy,11,1,0,0
2020-01-13,v7777.com,5205,GoDaddy,5,1,0,1
2020-01-14,freestylextreme.com,17749,GoDaddy,15,1,0,0
2020-01-14,zboardshop.com,13833,GoDaddy,10,1,0,0
2020-01-14,71zw.com,7000,GoDaddy,4,1,0,1
2020-01-14,eason.com,6700,GoDaddy,5,1,0,0
2020-01-15,sellershome.com,13360,Sedo,11,1,0,0
2020-01-15,tested.de,7949,Sedo,6,0,0,0
2020-01-15,serval.com,5588,NameJet,6,1,0,0
2020-01-15,pdmusic.org,5322,NameJet,7,0,0,0
2020-01-15,chems.com,5250,NameJet,5,1,0,0
2020-01-15,un-foodsecurity.org,5100,GoDaddy,15,0,1,0
2020-01-15,estream.to,5002,Park.io,7,0,0,0
2020-01-17,koles.com,73055,NameJet,5,1,0,0
2020-01-17,chauffage.fr,69581,Sedo,9,0,0,0
2020-01-17,pokerenligne.com,28350,DropCatch,12,1,0,0
2020-01-17,vall.com,7250,NameJet,4,1,0,0
2020-01-16,coverageforall.org,20750,GoDaddy,14,0,0,0
2020-01-16,seeya.com,19100,GoDaddy,5,1,0,0
2020-01-16,55377.com,13400,GoDaddy,5,1,0,1
2020-01-16,e-rmb.com,13049,Sedo,5,1,1,0
2020-01-16,bestself.com,12414,GoDaddy,8,1,0,0
2020-01-16,socialsecuritydisability.com,7006,GoDaddy,24,1,0,0
2020-01-16,rebike.com,7000,Flippa,6,1,0,0
2020-01-16,norgevegas.org,6012,DropCatch,10,0,0,0
2020-01-18,globalrealestate.com,8110,NameJet,16,1,0,0
2020-01-18,16456.com,7076,GoDaddy,5,1,0,1
2020-01-19,lewo.com,15300,GoDaddy,4,1,0,0
2020-01-19,72hours.org,14783,GoDaddy,7,0,0,1
